source_text,pivot_text_en,backtranslated_text,accepted
lezat tapi agag sedikit ribet bukannya ada pelayanan yang nyamperin tapi kita mesti nulis sendiri,"It's delicious, but it's a little complicated. No, there's no service to it, but we have to write it ourselves.","Ini lezat, tapi sedikit rumit./ Tidak, tak ada layanan untuk itu, tapi kita harus menulisnya sendiri.",False
lezat tapi sawinya pait ya,"It's delicious, but the palm piet is.","Ini lezat, tapi piet telapak adalah.",False
pelayananya ambruk parah,His ministry collapsed badly.,Pelayanannya runtuh parah.,False
saya beli mie ayam1 bakso 1 es teh 1 teh hangat hambar 1 masa jadi 47 000 waktu itu juga beli di bungkus mie ayam 2 bakso 1 masa tidak di beri kuah mie ayam lain kali lebih teliti lagi dalam menghitung pesanan dan jumlahnya kan saya jadi rugi,I bought chicken noodles. One iced tea. One hot tea.,"Aku membeli mie ayam, satu es teh, satu teh panas.",False
mie nya terlalu lembek sambel nya bikin nagih,The noodles are too soft. The sambel's making a lot of noise.,"Mie terlalu lembut, Sambel membuat banyak suara.",False
pelayanan buruk kami dibuat menunggu untuk 2 gelas es teh hingga kami pulang tetap tidak dibuatkan es teh tersebut garingan mas ujar e ula bar mangan ora nginum!!,Our poor ministry waited for two cups of iced tea until we returned home and still did not make the iced tea.,Pelayanan kami yang miskin menunggu dua cangkir es teh sampai kami kembali ke rumah dan masih tidak membuat es teh.,False
harusnya di jelasin dari awal kalau mienya tuh pedas mesen 5 orangnya ber5 apa tidak liat ada anak kecil pas mie nya dateng cma bilang agak pedas agak pedas di org dewasa untuk anak 2 tahun apa tidak nangis dy cma bilang maaf tidak ngaruh kata maaf doang alhasil tidak kemakan itu mie walau sudah di rendem air aqua harusnya bisa lebih aware lagi ke custemer yang baru pertama kali cba apalagi yang bawa anak bukan perkara mie ori 13k gampang bisa mesen lagi tapi komunikasinya yang nol,It should be explained from the beginning that the noodles are spicy. Mesen 5 people.,Ini harus dijelaskan dari awal bahwa mie pedas.,False
mohon kalau sudah ada yang bayar dicatat jangan menuduh orang yang sudah bayar bilang belum bayar sudah ada bukti malah chat tidak mengenakan,"Please, when you have paid the bill, please don't accuse the person who paid for it. Tell me you didn't pay. There's evidence that the chat isn't wearing.","tolong, ketika kamu sudah membayar tagihan, tolong jangan menuduh orang yang membayar untuk itu katakan padaku kamu tidak membayar ada bukti bahwa percakapan tidak memakai",False
tidak tahu,No idea.,Tidak tahu.,False
saya masih bingung sudah beberapa kali beli mie ayam pangsit di bawa pulang tapi di dalam mie nya tidak da daging ayam nya,I'm still confused. I've bought chicken dumpling noodles a few times. Brought them home.,"Aku masih bingung, aku sudah membeli mie ayam beberapa kali, membawanya pulang.",False
nyemek,Meek.,Meek.,False
tempat kurang luas sehingga saat jam makan siang terlalu penuh dan gerah,The place wasn't wide enough so at lunch time it was too full and hot,Tempat itu tidak cukup lebar sehingga pada waktu makan siang itu terlalu penuh dan panas,False
lezat tapi baksonya kurang greget tempat duduk nyaman dan kelengkapan seperti tisu sambal kecap lengkap,"It's delicious, but the meatballs don't have enough grease. The seats are nice and they're full of soy sauce wipes.","Ini lezat, tapi bakso tidak memiliki cukup minyak. kursi yang bagus dan mereka penuh tisu kecap.",False
kebersihan ny kurang,Mrs. San's hygiene is lacking.,Kebersihan Nyonya San kurang.,False
pelayannya kurang sat set beresin mejanya padahal sepi jam malam bersihin mejanya tidak rata ambilin tisu sama sumpit bekas ora masih di sisain ditinggal aja tidak sampe bersih masih ada tulang juga,Waitress didn't clear the table when it was quiet. The night shift cleared the table. Don't even take tissues with chopsticks.,Pelayan tidak membersihkan meja ketika itu tenang shift malam membersihkan meja bahkan tidak mengambil tisu dengan sumpit,False
awalnya mau ke mie ayam kamandaka disini ulasan banyak trrnyata salah lokasi harusnya ke mie ayam sebelahnya rasa standar harga 10 000,"fontcolor="" # FFFF00""firsttime goingto chicken noodle kamandaka fontcolor"" #color=="" FFFF=""herereviewsof a lot oftrulywrongthe locationshouldbeto the chicken noodle next to the standard price of 10 000",pertama kali pergi ke ayam mie kam danaka inilah gambaran dari banyak kesalahan yang sering terjadi lokasi yang seharusnya ada pada mie ayam di sebelah harga standar 10.000,False
cukup sekali lah kesini kapok benar dari awal pesen tidak ada penjelasan bahwa mienya itu pake toping ayam kuah rendang pedas yang mana tidak kids friendly banget sedangkan kesitu bawa anak kecil yang belum bisa makan pedas stelah pesanan dateng kaget dong dateng ke bagian depan bilang mau pesen 1 lagi tapi minta tolong toping ayam nya dipisah aja karena anak belum bisa makan pedas mereka jawab apa nggabisa kak harus ada topingnya nggabisa dipisah pesan harus selalu ada toppingnya karena akan beda kalau tidak ada toping nya tidak diperbolehkan sama management kalau dipisah bgitu karena akan mengubah rasa helow saya sudah bilang ini anak saya gabisa makan pedas trus suruh dipaksa gtu wahh baru pernah nemu tmpat makan bgini sakleknya perasaan kalau makn mie ayam dimanapun request tidak pake sayur tidak pake kuah cm pesan mie nya aja tanpa bumbu juga bisa banget tu kalu benar dari managementnya yang ada kasih peraturan gtu aneh banget si,That's enough. Come here. Right from the beginning.,"Sudah cukup, kemarilah dari awal.",False
rasanya c lezat cm entah pas tidak kebeneran kemarin makan bertiga dengan anak setelah itu kita kaya diare bab sampe 4 5x padahal anak saya tidak pake sambel tolong diperhatikan lagi mgkn alat makanya yang kurang bersih nyucinya karena tidak dikasih no telpon jd komplainya disini,It's delicious. I don't know. It wasn't true yesterday.,"Ini lezat, aku tidak tahu, itu tidak benar kemarin.",False
legend si tapi kurang nendang,legend si but not enough to kick,"Legenda, tetapi tidak cukup untuk menendang.",False
mie ayam super lezat di purwokerto cuma di hari raya idul fitri ini pelayanan sangat buruk sudah nunggu lama tidak dikasih2 eh yang baru datang dikasih duluan berhubung sudah 1jam tidak dikasih yaudh terpaksa bayar minumnya aja,Super delicious chicken noodles in purwokerto only on holiday. This idul fitri service is bad. Wait a long time.,Super lezat mie ayam di purwokerto hanya pada hari libur. layanan fitri ini buruk.,False
untuk rasa lumayan lezat tapi uhtuk harga terlalu mahal dibanding mie ayam disekitarnya,"It's quite delicious, but it's too expensive for chicken noodles around it.","Ini cukup lezat, tapi terlalu mahal untuk mie ayam di sekitarnya.",False
sayang banget mie ayam lezat jadi rusak gara gara liat masnya sudah buruk tidak sopan lagi ngelayaninnya nada bicaranya malesin banget sumpah kalau gakuat kerja gausah kerja lah,It's too bad the chicken noodles are delicious so it's ruined because of the bad taste,Ini terlalu buruk mie ayam lezat jadi itu hancur karena rasa buruk,False
hari ini saya ke mie ayam ini tapi saya dilewati sampe 2 kali pembuatan dan saya ahirnya tidak jd makan mie disini karena tidak dikasih2 6 pengunjung sesudah saya malah sudah dilayani tidak akah pernah tau karena tidak akan pernah ke sini lagi kapok,Today I went to this chicken noodle but I went through it twice and I ended up eating noodles here because I didn't have six visitors after I had been served I never knew I'd never come back,Hari ini saya pergi ke mie ayam ini tapi aku pergi melalui dua kali dan akhirnya aku makan mie di sini karena saya tidak memiliki enam pengunjung setelah saya telah dilayani Aku tidak pernah tahu aku tidak akan pernah kembali,False
pr untuk manajemennya nih pelayan nya sangat tidak customer oriented tidak ramah thd pelanggan susah majunya kalau sdm yang melayani berhadapan langsung dengan pelanggan mutunya spt ini,"fontcolor="" # FFFF00""pr for management fontcolor00"" # 0000""the waitersareveryunusabled fontcolor ="" # color = ""# FFFF000""",maaf untuk manajemen 00.000 pelayan yang tak bisa dipakai,False
mie ayam legend di purwokerto sejak saya smp lebih dari 20tahun lalu tempatnya berpindah pindah tetapi pelanggan selalu mengikuti karena terkenal kelezatannya sayang tempatnya masih kurang nyaman,Chicken legend noodles in purwokerto since I smp more than 20 years ago the place moved but the customer always follows because it's famously delicious,Mie ayam legenda di purwokerto sejak 20 tahun yang lalu tempat itu bergerak tapi pelanggan selalu mengikuti karena sangat lezat,False
terlalu lama penyajian makanannya,Too long to serve food.,Terlalu lama untuk melayani makanan.,False
kurang akeh,I do not know.,Aku tidak tahu.,False
pelayanan lama kalau yang datang customer laki pake motor makanannya dateng lama sedangkan kalau customer perempuan atau keluarga yang naik mobil lngsung dilayani dengan cepat,Old service when the customer on the man's bike comes home long while the female or family customer in the car is served quickly,Layanan lama ketika pelanggan di sepeda pria itu pulang lama-lama sementara pelanggan wanita atau keluarga di dalam mobil disajikan dengan cepat,False
sbnrny enk cumn kmren ps beli d bungkus juga tidak lngsung d mkn jdi melar,I don't think you should buy it.,Saya tidak berpikir Anda harus membelinya.,False
madyang disit lurrr,Mad that's fucked up.,Gila itu kacau.,False
sering libur jualan mood2an terakhir makan ambyar karena lagi laris minya lembek rasa juga kurang,It's often the last time we've had an ambyar because the noodles are so soft they don't feel good.,Ini sering kali terakhir kali kita memiliki ambyar karena mie begitu lembut mereka tidak merasa baik.,False
makanan good tapi pelayanan kurang apalagi untuk orderan food kurang teliti pesan apa yang datang apa selalu aja ada yang kurang kalau kurang sambal g masalah tapi kalau sll aja makanan yang dipesan kurang kan jd ilfil juga tolong untuk penjual nya lebih teliti lagi,"Food's good, but the service's not enough for food orders. Not sure what's coming. Anything less if it's less hot.","Makanan yang baik, tapi layanan tidak cukup untuk makanan tidak yakin apa yang akan datang.",False
tempat kurang luas,less space,sedikit ruang,False
mie ayamnya lezat tapi ada kandang burung yang digantung dekat meja bikin tidak lezat makan,Chicken noodles are delicious but there's a birdhouse hanging near the table making it not delicious to eat,Mie ayam yang lezat tapi ada rumah burung tergantung di dekat meja membuat tidak lezat untuk makan,False
lelet parah pekerja malas,Severe slow lazy workers,Pekerja malas yang lambat parah,False
rasa kurang harga agak mahal tidak sebanding dengan rasanya kecewa sih,The lack of price is not worth being disappointed about.,Kurangnya harga tidak layak untuk dikecewakan.,False
dari sisi negatifnnya dulu pelayanannya lumayan nunggu apalagi panas2 susananya karena gubuk kalau mau makan ditempat saya rasa tidak bakal nyaman sih porsinya rasanya dikit ibuku yang biasanya makan mie ayam di jeda dulu ini bisa langsung habis atau mungkin karena mienya kecil jadi keliaan dikit tidak tau juga sih dan semua kekurangan diatas bisa tidak kompromi karena kelebihannya ini di kuahnya atau mungkin minyaknya yang rasanya mirip sama minyak indomie,On the negative side. The service was good. Waited a while.,"Sisi negatifnya, layanannya bagus, menunggu beberapa saat.",False
beli bakso mercon kuah mercon kaget dengan rasa pedas yang membara di lidah saat perut belom makan nasi makanan lezat tempat agak berisik dengan suara pelayan nya,Buy meat mercons. Mercon kuah. Shocked by the hotness of the tongue when the stomach hasn't eaten yet.,"Beli daging mercons, Mercon Kuah, Dikejutkan oleh panas lidah ketika perut belum makan.",False
tadi mesen mau setengah jam tidak dianter2 gatau lupa atau apa pdhl bnyk karyawannya yang datengin org2 baru juga sudah pesen tapi tidak dianter2 sebel banget cb evaluasi karyawan untuk nanya org yang dimeja belum ada mangkok dll makasih,I want half an hour. Not in the past. Or forget.,"Aku ingin setengah jam, tidak di masa lalu, atau lupakan.",False
pertama nyoba rasanya aneh mungkin kecapnya beda tapi lama lama rasanya masuk sih sambelnya pedas pangsitnya perlu order ya tidak free,"fontcolor="" # FFFF00""firsttasteskindofstirable fontcolor ="" # 0000""maybethe soy saucewas different butlongtimetoldto getin fontcolorcolor= ""# FFFF=""the sambels are hot dumplings need orderyesnotfree",pertama kali terasa tidak enak mungkin saus kedelainya berbeda tapi lama sekali untuk bisa masuk ke dalam si sambel itu harus memesan makanan yanot free,False
lezat selalu balik kesini kalau mudik skrg ada kasirnya ya pernah liat ada bos nya kali ya sok bossy banget gt nyuruh2 ank buahnya di dpn org mkn kan jd kurang nyaman pernah salah ambil minum kirain air putih di galon blkg abangya ternyata air garam kasih tulisan donk ya kita mau refill air putih ternyata isinya air garam huhu,It's delicious. Come back here. If there's a cashier now.,Ini lezat. kembali ke sini Jika ada kasir sekarang.,False
makan di area perindustrian jos sepi dan mengenyangkan,eating in the industrial area jos is deserted and contented,makan di daerah industri jos adalah sepi dan puas,False
bapak botak berkacamata pesawatpun berhenti sejenak melihat bapak botak meracik bumbu,You're bald. Even the plane glasses stopped for a moment. Saw Baldy making the seasoning.,kau botak bahkan kacamata pesawat berhenti sejenak lihat si botak membuat bumbu,False
asin banget,It's so salty,Ini sangat asin,False
mie ayam bakso tetelan rasa umum seperti mie ayam lain tempat terbatas dan panas,Chicken meatball noodles are swallowed by common flavors like other chicken noodles. It's limited and hot.,Mie bakso ayam ditelan oleh rasa biasa seperti mie ayam lainnya.,False
pelayanannya kurang bagus dan lama jika banyak tamu resto dan pengunjung koki masak agar ditambah,The service isn't good enough and old when there are plenty of restaurant guests and chefs to add.,Layanan tidak cukup baik dan tua ketika ada banyak tamu restoran dan koki untuk menambahkan.,False
rasanya tidak kayak dulu pas awal2 makan,It doesn't feel like the last time I ate.,Rasanya tidak seperti terakhir kali aku makan.,False
rasanya bagus tempat kurang representatif,It feels good. It's a less representational place.,"Rasanya enak, ini tempat yang kurang representasional.",False
bisa diulang,repeatable,dapat diulang,False
masih inget dulu tahun 2021 rasanya lezat banget skrg mungkin citra rasanya agak berkurang lumayan signifikan serius ini cuman sekedar apa yang saya rasakan aja sebagai bentuk kritik membangun,Still remember back in 2021 it tastes delicious. Now maybe it tastes a little less significant. Seriously.,Masih ingat saat tahun 2021 rasanya enak sekarang mungkin rasanya kurang signifikan serius,False
selalu langganan tempat harus gantian,always subscribe place to change,selalu berlangganan tempat untuk mengubah,False
kalau yang saya alami mienya kurang matang atau selera orang masing² yaa intinya kurang empuk lah,"fontcolor="" # FFFF00""ifI'mundercookedthemilk orpeople'staste fontcolor ="" # 00FF00""yes",kalau aku masak susunya atau rasanya orang lain ya,False
saya sangat2 kecewa dengan pelayanannya saya pesen dari jam 11 30 d jawab katanya habis juma tan stlh jum atan tidak ada respon sama sekali kalau jam 13 40 tidak d telpn ya mungkin kita nunggu entah smp kpn kita nunggu mknan datang padahal untuk jam makan siang akhirnya saya dan temen2 tidak ada yang makan karena jam istrahat sudah habis,I'm very disappointed with the service. I've got an 11-and-30 in response. It's said that we've been waiting for the right time.,aku sangat kecewa dengan layanannya aku mendapat respon 11-dan-30 katanya kita sudah menunggu waktu yang tepat,False
biaya jasanya mahal,The service costs a lot.,Pelayanannya sangat mahal.,False
kurang nyaman sempit,It's not comfortable tight.,Ini tidak nyaman ketat.,False
beli miago bakso tapi tidak dikasih bakso nyaa,Buy meago meatballs but not give me meatballs,Beli meago bakso tetapi tidak memberi saya bakso,False
masakan lumayan tempat agak sempit pembatasnya sajian kurang cepat karena mungkin yang antre banyak,"Cooking's pretty tight. Food's a little short, 'cause it's probably a lot of lined up.","Memasak cukup ketat. makanan sedikit pendek, karena mungkin banyak berbaris.",False
kriyuk ususnya benar benar dari minyak bekas bangettt diduga terasa sangat menderita di tenggorokan,His intestines are right. Ex-excerpt oil is thought to be suffering a lot in the throat.,"Ususnya benar, minyak eks-excerpt diduga banyak menderita di tenggorokan.",False
ya masih sama kurang lebih tapi makin kesini porsinya makin dikit sawinya makin banyak sebatang batangnya dimasukin ya wajar si demi mempertahankan harga,"Yeah, it's the same thing. But the more you get here, the less you get, the more the rod gets in.","Ya, sama saja, tapi semakin kau sampai di sini, semakin sedikit yang kau dapatkan, semakin banyak batang yang masuk.",False
sangat mahal dan tidak lezat cukup mengecewakan,very expensive and not delicious quite disappointing,sangat mahal dan tidak lezat cukup mengecewakan,False
mohon maaf sekali saya harus berkata jujur karena saya juga pecinta mie ayam alhamdulillah baru sempet nyobain mie ayam ini untuk makanan lumayan lah tapi alangkah baiknya jangan terlalu benyek bahasa jawane nglodrog jadi malah kaya indomie aceh masak sampai nglodrog di beri toping rendang untuk tempat ini yang paling parah kotor apalagi bagian atas atas banyak seperti bekas bekas jerami banyak sarang laba laba ny iya satu lagi bau sampah banget pas di tempat kasiran pertama masuk mohon di koreksi terima kasih,I'm so sorry to be honest. I also love chicken noodles. I've just eaten chicken noodles for food.,aku minta maaf untuk jujur aku juga suka mie ayam aku baru saja makan mie ayam untuk makanan,False
tidak bisa move on sama rasa mie godhognya,Can't move on the same taste of godhog noodles,Tidak bisa bergerak pada rasa yang sama mie godhog,False
pelayanannya kurang,The ministry is lacking,Pelayanan kurang,False
better order mie nya jangan terlalu matang tempatnya agak panas kalau siang,Better order the noodles. Don't overcooked it. It's kind of hot during the day.,"Lebih baik pesan mie, jangan masak terlalu matang, panas di siang hari.",False
lezat saya tidak bisa coba2 ke lain nya,Delicious. I can't try anything else.,Lezat. aku tidak bisa mencoba hal lain.,False
rasa seperti pada umumnya pelayanan lama padahal pas lagi sepi pembeli dan salah bikin pesanan,Feels like the usual old service when it's right to be deserted and misordered.,Terasa seperti pelayanan lama yang biasa ketika itu adalah hak untuk menjadi sepi dan salah memesan.,False
tempatnya kecil banget,The place is so small.,Tempat ini begitu kecil.,False
biasa kesini soalnya mie nya lezat tapi dia kali terakhir tidak bgtu paling senng kalau ibu nya yang bikin mie ayam tidak asin soalnya rasanya pas kmren dulu bapak yang bikin agak asin tapi kali ini si mamas tapi tidak tau dya siapanya cm asinnya luar biasa padahal di meja sudah ada garam untuk nambah kalau asin jadi kali ini tidak bgtu terpuaskan makan mie nya,It used to be here. 'Cause the noodles were delicious. But he wasn't the last time.,"Dulu ada di sini, karena mienya enak, tapi dia bukan yang terakhir kali.",False
crot,crot,cront,False
mie ayam apaan ini harga 17 rb sudah sama parkir mahal mienya dikit tidak ada kuahnya pertama kali kesini kukira lezat bikin kenyang malah tidak ada rasanya sama sekali review jujur demi allah,Chicken noodles! What's this? 17 rb worth of expensive parking.,Apa ini? 17 Rub senilai parkir mahal.,False
harganya lumayan rasanya kurang lezat,The price is not good enough.,Harganya tidak cukup baik.,False
makanan lezat tapi tukang parkir sangat meresahkan jadi males kesitu lagi bukan karena makanannya tapi karena tukang parkirnya yang sok2 an gamau bantu tapi minta 2rb,It's delicious. But the meter maid is so annoying. So it's not about the food anymore.,"Ini lezat, tapi tukang parkir sangat menjengkelkan, jadi ini bukan tentang makanan lagi.",False
pelayanannya sekarang agak lama untuk rasa masih sama tapi sudah gada pangsit rebusnya,"It's been a while now for the same taste, but it's not the stew dumplings.","Sudah beberapa saat sekarang untuk rasa yang sama, tapi itu bukan pangsit rebus.",False
mungkin mangkoknya kurang besar jd penuh banget kesannya susah kalau mo mengaduknya,Maybe the bowl isn't so big. So much for the impression. It's hard to stir it.,"Mungkin mangkuknya tidak begitu besar, begitu banyak kesan, sulit untuk mengaduknya.",False
dari rumah sakit mampir cari mie ayam terdekat sebenarny mienya lezat bumbunya meresap tapi untuk tempat panas dan kurang penerangan karyawannya ada 4 orang asik ngobrol saat sedang makan ada salah satu mbak2ny batuk trus dan tiba2 masuk kedalam sampai kedengeran keluar grak grok ludah,From the hospital stopping by. Find the nearest chicken noodles. The noodles are delicious.,"Dari rumah sakit mampir, cari mie ayam terdekat, mienya enak.",False
wenak tenann sing ora mampir fix arogan,Wenak tenann sing ora stopped by arrogant fix,Wenak tenann sing ora dihentikan oleh memperbaiki arogan,False
langganan kesini tapi parkir mobil susah,The customers are here but the car park is hard,Para pelanggan di sini tapi parkir mobil sulit,False
penjualnya jutek hanya mau berbicara sm pembeli yang sudah langganan siapkan uang 2rb untuk parkirrr,The seller's jutek just wants to talk to a regular buyer. Get the 2rb money ready for parking.,Penjualnya hanya ingin bicara dengan pembeli biasa.,False
eunak ternyata hehehe,eunak turned out to be hehehe,Eikhak ternyata hehe,False
beli 3 porsi mie ayam 1 sate telur 1 tempe bacem di bungkus dan begitu sampai di rumah ternyata tidak ada sate telur dan tempe bacem yang sudah saya bayar ternyata hanya ada 3 porsi mie ayam kecewa,Buy 3 chicken noodles 1 sate egg 1 tempe bacem wrapped and once home it turns out there's no egg sate and the baceme I've already paid for is only three chicken noodles disappointed,Beli 3 mie ayam 1 telur sate 1 tempe bacem dibungkus dan setelah rumah ternyata tidak ada sate telur dan baceme saya sudah dibayar untuk hanya tiga mie ayam kecewa,False
not bad,not bad,lumayan,False
rasa biasa aja lumayan lah tempat sempit kurang nyaman,I don't think it's too much of a small place to be.,Saya tidak berpikir itu terlalu banyak tempat kecil untuk menjadi.,False
tekstur mie nya beda dari mie ayam lain mie mya pipih dan gepeng barusan beli mie nya terlalu lembek entah memang begitu atau masak nya kelamaan,The noodle texture is different from the other chicken noodles. Mya noodles are flat and flat. Just bought the noodles too soft.,Tekstur mie berbeda dengan mie ayam lainnya mie Mya datar dan datar.,False
lezat porsi besar harga murah cuma kalau sore rasanya hambar,It's delicious. Big portions. Cheap prices only when it's tasteless in the afternoon.,Ini lezat. porsi besar. harga murah hanya ketika itu hambar di sore hari.,False
mienya agak beda teksturnyaa,The noodles are slightly different in texture,Mie sedikit berbeda dalam tekstur,False
kurang memerhatikan pesanan pelanggan saya sudah menunggu 30 menit mie tidak kunjung datang padahal saya sudah pesan dan bayar ke kasir sampe saya perhatikan ada beberapa pelanggan yang baru datang lebih cepat mendapatkan pesanannya di banding saya mohon untuk lebih di perhatikan,I've been waiting 30 minutes for my customers to come when I ordered and paid the checkout till I noticed some new customers came in early to get the order instead of me please pay more attention,Aku sudah menunggu 30 menit untuk pelanggan saya untuk datang ketika saya memesan dan membayar checkout sampai saya melihat beberapa pelanggan baru datang lebih awal untuk mendapatkan urutan bukan saya silahkan membayar lebih perhatian,False
pelayanannya g ramah nyebelin banget baksonya enk cm pelayanannya judes apalagi yang cowow judes nyebelin pecat kek taiii emosi lnw pelayan aja songong tek tandain muka lu pelayan 2 orang yang cowo2 bukannya bnyk review pelayanan yang buruk mlh g dipecatw dibenerin dong pelayanannya!!!,His service is not so friendly. His meatballs are so cold. His services are bitter. What's wrong with a man?,Layanannya tidak begitu ramah. bakso nya begitu dingin. pelayanan nya pahit. ada apa dengan seorang pria?,False
cukupan,Enough,Cukup,False
sayangnya bukanya sore jelang malam tidak ada niatan buka siang di jam makan siang kah?,"I'm afraid it's late at night. No plans to open lunch at lunch, is it?","Tidak ada rencana untuk membuka makan siang, kan?",False
kesannya kumuh tidak higienis rasa biasa saja manis,The impressions of slums are not hygienic. The taste is ordinary. Sweet.,"Kesan daerah kumuh tidak higienis, rasanya biasa.",False
